,Trig,Date,Time UT,Ra,Dec,Sat
0,631205591,2021-01-01,14:53:07,136.7,50.1,Fermi
1,631226368,2021-01-01,20:39:24,10.3,-6.91,Fermi
2,631312759,2021-01-02,20:39:14,232.7,-27.54,Fermi
3,631452424,2021-01-04,11:27:00,110.77,68.72,Fermi
4,631555390,2021-01-05,16:03:06,70.99,-36.83,Fermi
5,631602681,2021-01-06,5:11:16,338.45,9.0,Fermi
6,631584650,2021-01-06,0:10:45,249.85,-11.983,Fermi
7,631793415,2021-01-08,10:10:10,308.06,-25.03,Fermi
8,632037192,2021-01-11,5:53:08,340.7,-43.567,Fermi
9,632060507,2021-01-11,12:21:43,180.15,26.533,Fermi
10,632221553,2021-01-13,9:05:48,276.64,-47.51,Fermi
11,632352534,2021-01-14,21:28:50,121.3,-22.73,Fermi
12,632421956,2021-01-15,16:45:51,225.067,-40.583,Fermi
13,632460964,2021-01-16,3:35:59,148.217,-47.983,Fermi
14,632573937,2021-01-17,10:58:52,226.77,-20.23,Fermi
15,632717654,2021-01-19,2:54:10,290.39,-63.46,Fermi
16,632819449,2021-01-20,7:10:45,163.37,17.09,Fermi
17,633141335,2021-01-24,0:35:30,142.35,-6.25,Fermi
18,633257525,2021-01-25,8:52:00,81.06,51.23,Fermi
19,633397712,2021-01-26,23:48:28,160.833,-47.317,Fermi
20,633348010,2021-01-26,10:00:06,70.68,-67.94,Fermi
21,633421582,2021-01-27,6:26:17,54.8,47.18,Fermi
22,633569707,2021-01-28,23:35:02,292.117,26.15,Fermi
23,633647760,2021-01-29,21:15:56,301.2,18.933,Fermi
24,633626614,2021-01-29,15:23:30,288.417,18.75,Fermi
25,633720730,2021-01-30,17:32:06,21.567,69.65,Fermi
26,633733287,2021-01-30,21:01:23,253.4,64.867,Fermi
27,633658270,2021-01-30,0:11:05,266.733,14.267,Fermi
28,633806427,2021-01-31,17:20:23,75.9,-42.917,Fermi
29,633879387,2021-02-01,13:36:22,144.98,-50.67,Fermi
30,633983674,2021-02-02,18:34:30,87.4,42.717,Fermi
31,633963272,2021-02-02,12:54:27,297.06,18.74,Fermi
32,210202841,2021-02-02,20:10:31,230.682,-39.189,Fermi
33,633989436,2021-02-02,20:10:31,230.77,-40.78,Fermi
34,634156744,2021-02-04,18:39:00,272.49,-54.81,Fermi
35,634112970,2021-02-04,6:29:26,116.12,12.7,Fermi
36,634202000,2021-02-05,7:13:16,288.283,50.183,Fermi
37,634350957,2021-02-07,0:35:53,298.9,25.967,Fermi
38,634400883,2021-02-07,14:27:59,138.48,1.59,Fermi
39,634669632,2021-02-10,17:07:08,205.19,17.32,Fermi
40,634659312,2021-02-10,14:15:07,292.47,36.59,Fermi
41,634725803,2021-02-11,8:43:19,267.71,-55.96,Fermi
42,634903212,2021-02-13,10:00:08,31.95,-34.883,Fermi
43,634874860,2021-02-13,2:07:36,333.567,-11.117,Fermi
44,634931239,2021-02-13,17:47:14,122.54,22.25,Fermi
45,635027890,2021-02-14,20:38:05,106.383,-70.683,Fermi
46,635206844,2021-02-16,22:20:40,295.983,27.433,Fermi
47,635247459,2021-02-17,9:37:35,305.017,-39.467,Fermi
48,635598158,2021-02-21,11:02:34,266.483,81.633,Fermi
49,635781430,2021-02-23,13:57:06,222.117,48.883,Fermi
50,635922820,2021-02-25,5:13:36,333.44,28.41,Fermi
51,636187116,2021-02-28,6:38:31,91.62,-41.29,Fermi
52,636168178,2021-02-28,1:22:54,283.48,-43.13,Fermi
53,636420277,2021-03-02,23:24:32,314.567,48.067,Fermi
54,636459103,2021-03-03,10:11:38,40.81,3.35,Fermi
55,636729628,2021-03-06,13:20:23,284.683,70.617,Fermi
56,636695642,2021-03-06,3:53:57,139.18,64.23,Fermi
57,636715939,2021-03-06,9:32:14,337.91,14.72,Fermi
58,636717531,2021-03-06,9:58:47,324.667,53.283,Fermi
59,636878281,2021-03-08,6:37:57,63.45,42.77,Fermi
60,636926765,2021-03-08,20:06:00,350.48,-53.55,Fermi
61,636858344,2021-03-08,1:05:40,42.517,-43.0,Fermi
62,637027080,2021-03-09,23:57:55,143.31,-5.87,Fermi
63,637133095,2021-03-11,5:24:50,108.8,26.183,Fermi
64,637214649,2021-03-12,4:04:05,68.21,-16.26,Fermi
65,637521056,2021-03-15,17:10:52,100.1,-51.81,Fermi
66,637664914,2021-03-17,9:08:29,154.22,-64.94,Fermi
67,637729731,2021-03-18,3:08:47,259.06,-30.29,Fermi
68,637959326,2021-03-20,18:55:21,265.633,67.65,Fermi
69,637977270,2021-03-20,23:54:25,93.71,-26.63,Fermi
70,638079947,2021-03-22,4:25:43,296.9,-21.95,Fermi
71,638193818,2021-03-23,12:03:33,253.08,7.82,Fermi
72,638278742,2021-03-24,11:38:57,88.917,-44.95,Fermi
73,638277273,2021-03-24,11:14:28,148.53,37.18,Fermi
74,638308803,2021-03-24,19:59:58,39.17,-45.25,Fermi
75,638306711,2021-03-24,19:25:06,163.84,-4.26,Fermi
76,638414549,2021-03-26,1:22:25,58.01,15.06,Fermi
77,638657121,2021-03-28,20:45:17,209.15,-10.01,Fermi
78,639011829,2021-04-01,23:17:04,263.07,-31.58,Fermi
79,639164541,2021-04-03,17:42:16,314.0,-61.15,Fermi
80,639101364,2021-04-03,0:09:19,357.133,80.8,Fermi
81,639199407,2021-04-04,3:23:22,186.68,-1.3,Fermi
82,639303904,2021-04-05,8:24:59,30.58,18.58,Fermi
83,639441970,2021-04-06,22:46:05,6.58,19.58,Fermi
84,639708801,2021-04-10,0:53:17,269.24,49.09,Fermi
85,639787339,2021-04-10,22:42:14,251.05,73.783,Fermi
86,639851475,2021-04-11,16:31:11,355.22,23.42,Fermi
87,639804661,2021-04-11,3:30:56,259.39,-27.41,Fermi
88,639840769,2021-04-11,13:32:45,115.68,-74.84,Fermi
89,639862902,2021-04-11,19:41:37,109.833,29.7,Fermi
90,639946709,2021-04-12,18:58:24,256.8,12.55,Fermi
91,639926921,2021-04-12,13:28:36,180.95,45.433,Fermi
92,640050417,2021-04-13,23:46:52,186.07,49.6,Fermi
93,640012523,2021-04-13,13:15:18,291.7,19.283,Fermi
94,640162105,2021-04-15,6:48:20,130.32,-37.94,Fermi
95,640199945,2021-04-15,17:19:01,238.683,-9.383,Fermi
96,640310224,2021-04-16,23:57:00,213.067,79.4,Fermi
97,640303939,2021-04-16,22:12:15,249.67,-67.52,Fermi
98,640353092,2021-04-17,11:51:27,122.7,-48.6,Fermi
99,640393072,2021-04-17,22:57:47,163.9,-6.117,Fermi
100,640559433,2021-04-19,21:10:28,307.02,0.07,Fermi
101,640588174,2021-04-20,5:09:29,253.04,22.36,Fermi
102,640646809,2021-04-20,21:26:44,77.55,-60.283,Fermi
103,640728778,2021-04-21,20:12:53,198.68,-13.35,Fermi
104,640982416,2021-04-24,18:40:11,23.75,12.98,Fermi
105,640975205,2021-04-24,16:40:01,186.36,37.78,Fermi
106,641042067,2021-04-25,11:14:22,333.2,67.25,Fermi
107,641017296,2021-04-25,4:21:31,243.95,-45.53,Fermi
108,641009305,2021-04-25,2:08:21,197.083,-52.75,Fermi
109,641078722,2021-04-25,21:25:18,41.517,13.1,Fermi
110,641170348,2021-04-26,22:52:23,105.467,62.283,Fermi
111,641127444,2021-04-26,10:57:19,300.883,-60.533,Fermi
112,641192237,2021-04-27,4:57:13,174.24,-52.69,Fermi
113,641201117,2021-04-27,7:25:12,220.567,15.5,Fermi
114,641315537,2021-04-28,15:12:13,317.25,60.767,Fermi
115,641511742,2021-04-30,21:42:18,348.21,8.34,Fermi
116,641537705,2021-05-01,4:55:00,33.44,-77.89,Fermi
117,641601187,2021-05-01,22:33:02,195.9,46.26,Fermi
118,641592039,2021-05-01,20:00:34,186.983,-83.517,Fermi
119,641732232,2021-05-03,10:57:08,167.883,-76.317,Fermi
120,641763254,2021-05-03,19:34:09,328.93,66.03,Fermi
121,641862052,2021-05-04,23:00:47,65.06,49.06,Fermi
122,641806337,2021-05-04,7:32:12,48.433,-40.267,Fermi
123,641848886,2021-05-04,19:21:21,102.45,70.05,Fermi
124,641891998,2021-05-05,7:19:53,101.617,-28.417,Fermi
125,642106916,2021-05-07,19:01:51,31.467,9.417,Fermi
126,642105643,2021-05-07,18:40:38,285.86,-7.49,Fermi
127,642205660,2021-05-08,22:27:35,179.383,-14.567,Fermi
128,642261225,2021-05-09,13:53:40,47.017,17.667,Fermi
129,642367205,2021-05-10,19:20:01,194.07,36.81,Fermi
130,642423542,2021-05-11,10:58:57,253.79,69.34,Fermi
131,642425204,2021-05-11,11:26:39,316.18,61.69,Fermi
132,642459088,2021-05-11,20:51:24,92.95,47.333,Fermi
133,642538568,2021-05-12,18:56:03,146.18,14.18,Fermi
134,642647227,2021-05-14,1:07:03,54.9,-22.383,Fermi
135,642783411,2021-05-15,14:56:46,315.17,45.71,Fermi
136,642776810,2021-05-15,13:06:46,138.68,74.18,Fermi
137,642773235,2021-05-15,12:07:11,326.533,-33.717,Fermi
138,642900891,2021-05-16,23:34:47,347.017,67.633,Fermi
139,642991619,2021-05-18,0:46:55,4.69,-1.6,Fermi
140,643035854,2021-05-18,13:04:10,270.01,49.61,Fermi
141,643065622,2021-05-18,21:20:18,192.85,36.92,Fermi
142,643099138,2021-05-19,6:38:54,187.87,-40.23,Fermi
143,643079074,2021-05-19,1:04:29,275.433,75.717,Fermi
144,210520797,2021-05-20,19:07:02,123.0,-69.4,Fermi
145,643223451,2021-05-20,17:10:46,267.517,39.367,Fermi
146,643230427,2021-05-20,19:07:03,149.21,-68.06,Fermi
147,643266386,2021-05-21,5:06:21,199.9,10.817,Fermi
148,643264789,2021-05-21,4:39:45,207.67,-63.6,Fermi
149,643411899,2021-05-22,21:31:34,253.417,-7.617,Fermi
150,643358933,2021-05-22,6:48:49,26.883,-65.1,Fermi
151,643548039,2021-05-24,11:20:35,147.77,5.14,Fermi
152,643525204,2021-05-24,4:59:59,339.12,-46.52,Fermi
153,643903431,2021-05-28,14:03:46,134.08,-15.27,Fermi
154,644025222,2021-05-29,23:53:37,230.01,36.34,Fermi
155,643997729,2021-05-29,16:15:25,104.91,-31.16,Fermi
156,644155206,2021-05-31,12:00:02,135.79,3.81,Fermi
157,644211962,2021-06-01,3:45:57,285.633,-4.167,Fermi
158,644260938,2021-06-01,17:22:14,276.16,11.09,Fermi
159,644359567,2021-06-02,20:46:02,210.93,-26.94,Fermi
160,644449593,2021-06-03,21:46:28,145.88,-62.12,Fermi
161,644597763,2021-06-05,14:55:58,16.52,-7.73,Fermi
162,644562543,2021-06-05,5:08:58,21.67,-41.51,Fermi
163,644644567,2021-06-06,3:56:02,180.37,3.97,Fermi
164,644653223,2021-06-06,6:20:18,193.6,40.95,Fermi
165,644712030,2021-06-06,22:40:25,77.767,-31.65,Fermi
166,644793834,2021-06-07,21:23:49,131.5,-48.67,Fermi
167,645047470,2021-06-10,19:51:05,241.54,12.4,Fermi
168,645030227,2021-06-10,15:03:43,212.24,11.76,Fermi
