TrigNum,Date,Time UT,MesgType,RA,Dec,Error,Comments
693644339,2022/12/25,6:58:54,GBM Flight Position,153.6,47.633,50,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 32.42,-24.62 [deg]. WARNING: This Notice was received with a negative intensity field -- INTEN was set to 0. The LC_URL file will not be created until ~15 min after the trigger."
693644339,2022/12/25,6:58:54,GBM Flight Position,121.967,37.183,50,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 32.42,-24.62 [deg]. WARNING: This Notice was received with a negative intensity field -- INTEN was set to 0. The LC_URL file will not be created until ~15 min after the trigger."
693552502,2022/12/24,5:28:18,GBM Flight Position,33.433,-35.733,3.7,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 18.27,-22.53 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
693552502,2022/12/24,5:28:18,GBM Flight Position,36.633,-35.633,3.95,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 18.27,-22.53 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
693552502,2022/12/24,5:28:18,GBM Ground Position,6.24,11.22,2.34,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_693552502.fits
693552502,2022/12/24,5:28:18,GBM Flight Position,214.717,28.6,5.37,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 18.27,-22.53 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
693552502,2022/12/24,5:28:18,GBM Flight Position,34.683,-33.6,4.77,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 18.27,-22.53 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
693547836,2022/12/24,4:10:32,GBM Flight Position,269.5,-33.917,9.4,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 108.65,-19.73 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
693547836,2022/12/24,4:10:32,GBM Flight Position,267.3,-24.017,12.23,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 108.65,-19.73 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
693547836,2022/12/24,4:10:32,GBM Flight Position,291.8,-15.2,35.3,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 108.65,-19.73 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
693532571,2022/12/23,23:56:07,GBM Final Position,353.65,-11.8,8.19,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Short GRB.
