,TrigNum,Date,Time UT,MesgType,RA,Dec,Error,Comments
0,631205591,2021-01-01,14:53:07,GBM Final Position,136.7,50.1,4.56,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
1,631226368,2021-01-01,20:39:24,GBM Final Position,10.3,-6.91,5.18,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
2,631312759,2021-01-02,20:39:14,GBM Ground Position,232.7,-27.54,2.55,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(63.0<100sec) coincident with the SWIFT_BAT event (trignum=1015728).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_631312759.fits
3,631452424,2021-01-04,11:27:00,GBM Ground Position,110.77,68.72,2.53,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(3.0<100sec) coincident with the CALET_GBM event (trignum=1293794541).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_631452424.fits
4,631555390,2021-01-05,16:03:06,GBM Final Position,70.99,-36.83,9.61,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
5,631602681,2021-01-06,5:11:16,GBM Ground Position,338.45,9.0,21.01,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_631602681.fits
6,631584650,2021-01-06,0:10:45,GBM Flight Position,249.85,-11.983,32.98,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 69.20,8.10 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
7,631793415,2021-01-08,10:10:10,GBM Ground Position,308.06,-25.03,7.63,Fermi-GBM Ground-calculated Coordinates. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_631793415.fits
8,632037192,2021-01-11,5:53:08,GBM Flight Position,340.7,-43.567,33.72,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 67.73,16.42 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
9,632060507,2021-01-11,12:21:43,GBM Flight Position,180.15,26.533,30.45,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 357.90,4.02 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
10,632221553,2021-01-13,9:05:48,GBM Final Position,276.64,-47.51,13.24,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
11,632352534,2021-01-14,21:28:50,GBM Ground Position,121.3,-22.73,13.09,Fermi-GBM Ground-calculated Coordinates. This is likely a Long GRB. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_632352534.fits
12,632421956,2021-01-15,16:45:51,GBM Flight Position,225.067,-40.583,27.13,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 32.38,-21.58 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
13,632460964,2021-01-16,3:35:59,GBM Flight Position,148.217,-47.983,29.88,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 162.92,-22.83 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
14,632573937,2021-01-17,10:58:52,GBM Final Position,226.77,-20.23,1.91,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
15,632717654,2021-01-19,2:54:10,GBM Ground Position,290.39,-63.46,3.38,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. Bright hard burst in the GBM. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice. NOTE: This GBM event is temporally(0.0<100sec) coincident with the SWIFT_BAT event (trignum=1017711).   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_632717654.fits
16,632819449,2021-01-20,7:10:45,GBM Final Position,163.37,17.09,3.79,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice was generated completely by automated pipeline processing. This is likely a Long GRB.
17,633141335,2021-01-24,0:35:30,GBM Flight Position,142.35,-6.25,27.05,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 249.55,-7.57 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
18,633257525,2021-01-25,8:52:00,GBM Final Position,81.06,51.23,6.51,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
19,633397712,2021-01-26,23:48:28,GBM Flight Position,160.833,-47.317,13.03,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 219.57,-15.27 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
20,633348010,2021-01-26,10:00:06,GBM Final Position,70.68,-67.94,3.85,Fermi-GBM Final Position. This Notice was ground-generated -- not flight-generated. The LC_URL file should be available by the time this FINAL notice is produced. This notice has human-in-the-loop processing.
21,633421582,2021-01-27,6:26:17,GBM Ground Position,54.8,47.18,16.26,Fermi-GBM Ground-calculated Coordinates. In the LAT Field-of-view. This Notice was ground-generated -- not flight-generated. The LC_URL file will not be created/available until ~15 min after the trigger. The POS_MAP_URL file will not be created/available until ~1.5 min after the notice.   http://gcn.gsfc.nasa.gov/notices_f/gbm_gnd_loc_map_633421582.fits
22,633569707,2021-01-28,23:35:02,GBM Flight Position,292.117,26.15,6.17,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 257.75,7.32 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
23,633647760,2021-01-29,21:15:56,GBM Flight Position,301.2,18.933,26.52,"Fermi-GBM Flight-calculated Coordinates. This trigger occurred at longitude,latitude = 172.67,-25.38 [deg]. The LC_URL file will not be created until ~15 min after the trigger."
24,633626614,2021-01-29,15:23:30,GBM Flight Position,288.417,18.75,5.6,Fermi-GBM Flight-calculated Coordinates. The LC_URL file will not be created until ~15 min after the trigger.
