Event ID,date,time,comment,flatten_skymap,moc_skymap
S190405ar,2019/4/5,16:01:30,RETRACTED,,
S190408an,2019/4/8,18:18:02,NORMAL,GW190408_181802_PublicationSamples_flattened.fits.gz,GW190408_181802_PublicationSamples.multiorder.fits
S190412m,2019/4/12,5:30:44,NORMAL,GW190412_PublicationSamples_flattened.fits.gz,GW190412_PublicationSamples.multiorder.fits
S190421ar,2019/4/21,21:38:56,NORMAL,GW190421_213856_PublicationSamples_flattened.fits.gz,GW190421_213856_PublicationSamples.multiorder.fits
S190425z,2019/4/25,8:18:05,NORMAL,GW190425_PublicationSamples_flattened.fits.gz,GW190425_PublicationSamples.multiorder.fits
S190426c,2019/4/26,15:21:55,NORMAL,GW190426_152155_PublicationSamples_flattened.fits.gz,GW190426_152155_PublicationSamples.multiorder.fits
S190503bf,2019/5/3,18:54:04,NORMAL,GW190503_185404_PublicationSamples_flattened.fits.gz,GW190503_185404_PublicationSamples.multiorder.fits
S190510g,2019/5/10,2:59:39,NORMAL,LALInference.fits.gz,LALInference.fits
S190512at,2019/5/12,18:07:14,NORMAL,GW190512_180714_PublicationSamples_flattened.fits.gz,GW190512_180714_PublicationSamples.multiorder.fits
S190513bm,2019/5/13,20:54:28,NORMAL,GW190513_205428_PublicationSamples_flattened.fits.gz,GW190513_205428_PublicationSamples.multiorder.fits
S190517h,17-May-19,5:51:01,NORMAL,GW190517_055101_PublicationSamples_flattened.fits.gz,GW190517_055101_PublicationSamples.multiorder.fits
S190518bb,18-May-19,19:19:19,RETRACTED,,
S190519bj,19-May-19,15:35:44,NORMAL,GW190519_153544_PublicationSamples_flattened.fits.gz,GW190519_153544_PublicationSamples.multiorder.fits
S190521g,21-May-19,3:02:29,NORMAL,GW190521_PublicationSamples_flattened.fits.gz,GW190521_PublicationSamples.multiorder.fits
S190521r,21-May-19,7:43:59,NORMAL,GW190521_074359_PublicationSamples_flattened.fits.gz,GW190521_074359_PublicationSamples.multiorder.fits
S190524q,24-May-19,4:52:06,RETRACTED,,
S190602aq,2-Jun-19,17:59:27,NORMAL,GW190602_175927_PublicationSamples_flattened.fits.gz,GW190602_175927_PublicationSamples.multiorder.fits
S190630ag,30-Jun-19,18:52:05,NORMAL,GW190630_185205_PublicationSamples_flattened.fits.gz,GW190630_185205_PublicationSamples.multiorder.fits
