Trig,Date yy/mm/dd,Time UT,BAT RA,BAT Dec,BAT Error,XRT RA,XRT Dec,XRT Error,UVOT RA,UVOT Dec,BLC,XLC,XS1,XS1p,XS2,XS2p,XIM,XIMp,USL,USLp,UIM,UIMp
1144698,2022/12/16,11:21:21,326.021,-34.405,3,326.0326,-34.4223,4.8,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2
1144538,2022/12/15,3:35:24,54.789,-27.433,3,54.684,-27.2954,5.2,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,FITS1 JPEG1 GIF1 PDF1 PS1,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1
1143281,2022/12/4,10:45:06,299.529,35.005,3,299.5354,35.0978,5.3,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2
1142997,2022/12/2,20:06:11,77.095,-59.806,3,77.083,-59.8321,1.9,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,,,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 CATALOG2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 CATALOG3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3
1142847,2022/12/1,12:25:06,266.933,-68.26,3,266.9227,-68.2488,3.7,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2
1136936,2022/11/10,2:28:18,29.119,-27.314,3,29.0988,-27.2956,1.9,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 CATALOG3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3 SKY4 SOURCES4 CATALOG4 FIELD_PS4 FIELD_JPEG4 FIELD_GIF4 FIELD_PDF4 SKY4 SOURCES4 CATALOG4 FIELD_PS4 FIELD_JPEG4 FIELD_GIF4 FIELD_PDF4,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3 SKY4 SOURCES4 FIELD_PS4 FIELD_JPEG4 FIELD_GIF4 FIELD_PDF4 SKY4 SOURCES4 FIELD_PS4 FIELD_JPEG4 FIELD_GIF4 FIELD_PDF4
1132968,2022/10/29,12:05:46,83.655,22.025,3,,,,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,,,,,,
1131910,2022/10/28,13:16:28,314.206,41.066,3,314.2027,41.0897,3.9,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,,,
1131397,2022/10/27,19:13:39,225.603,47.448,3,225.6209,47.4419,1.9,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,,,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 CATALOG1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 CATALOG2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 CATALOG3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3,FITS1 JPEG1 GIF1 PDF1 PS1 FITS2 JPEG2 GIF2 PDF2 PS2 FITS3 JPEG3 GIF3 PDF3 PS3,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1 SKY2 SOURCES2 FIELD_PS2 FIELD_JPEG2 FIELD_GIF2 FIELD_PDF2 SKY3 SOURCES3 FIELD_PS3 FIELD_JPEG3 FIELD_GIF3 FIELD_PDF3
1131029,2022/10/24,13:00:27,169.718,33.041,3,169.7413,33.0419,5.1,,,FITS JPEG GIF PDF PS FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,FITS JPEG GIF PDF PS,,FITS JPEG GIF PDF PS,,,,FITS1 JPEG1 GIF1 PDF1 PS1,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1,FITS1 JPEG1 GIF1 PDF1 PS1,SKY1 SOURCES1 FIELD_PS1 FIELD_JPEG1 FIELD_GIF1 FIELD_PDF1
